Subject_Code,Cluster,timepoint
CT002,0,b
CT003,0,b
CT004,0,b
CT005,0,b
CT007,1,b
CT008,1,b
CT010,0,b
CT012,0,b
CT013,1,b
CT015,0,b
CT016,0,b
CT017,1,b
CT018,0,b
CT020,0,b
CT021,0,b
CT022,0,b
CT023,0,b
CT024,1,b
CT025,1,b
CT026,0,b
CT027,0,b
CT028,0,b
CT029,0,b
CT030,1,b
CT031,0,b
CT032,0,b
CT033,0,b
CT034,0,b
CT037,0,b
CT038,0,b
CT039,1,b
CT040,0,b
CT041,0,b
CT042,0,b
CT043,0,b
CT044,1,b
CT046,0,b
CT050,0,b
CT051,0,b
CT053,0,b
CT056,0,b
CT058,0,b
CT061,0,b
CT062,1,b
CT065,0,b
CT066,0,b
NT001,0,b
NT002,0,b
NT003,0,b
NT005,0,b
NT006,0,b
NT007,1,b
NT008,0,b
NT010,0,b
NT011,0,b
NT013,0,b
NT015,1,b
NT016,0,b
NT017,0,b
NT018,1,b
NT019,0,b
NT020,0,b
NT022,1,b
NT023,0,b
NT024,0,b
NT025,0,b
NT026,0,b
NT027,0,b
NT028,0,b
NT030,0,b
NT033,0,b
NT034,0,b
NT035,0,b
NT036,1,b
NT039,0,b
NT040,0,b
NT042,0,b
NT043,0,b
NT045,0,b
NT046,0,b
NT047,1,b
NT048,1,b
NT049,1,b
NT052,0,b
NT053,0,b
NT054,0,b
NT055,1,b
NT056,0,b
NT057,0,b
NT058,0,b
NT059,0,b
NT060,1,b
NT061,0,b
NT063,0,b
NT065,1,b
NT066,1,b
NT067,0,b
NT069,1,b
NT070,0,b
NT074,0,b
NT077,0,b
NT080,0,b
NT081,1,b
NT082,1,b
NT083,0,b
NT085,0,b
NT088,0,b
NT089,0,b
NT090,0,b
NT091,0,b
NT092,0,b
NT093,0,b
NT094,0,b
NT096,0,b
NT097,0,b
NT100,0,b
NT102,0,b
NT103,0,b
NT105,0,b
NT106,0,b
NT110,0,b
NT116,0,b
NT117,0,b
NT118,1,b
NT119,0,b
NT122,0,b
NT123,0,b
NT124,0,b
NT125,0,b
NT126,0,b
NT129,1,b
NT131,0,b
NT132,1,b
NT134,1,b
NT135,0,b
NT136,0,b
NT137,0,b
NT138,0,b
NT139,0,b
NT140,0,b
NT142,0,b
CT003,0,t1
CT004,0,t1
CT005,1,t1
CT007,1,t1
CT008,0,t1
CT010,1,t1
CT012,1,t1
CT013,0,t1
CT015,1,t1
CT016,0,t1
CT018,1,t1
CT021,1,t1
CT022,0,t1
CT023,0,t1
CT024,1,t1
CT025,1,t1
CT026,0,t1
CT027,0,t1
CT028,0,t1
CT029,0,t1
CT030,1,t1
CT031,0,t1
CT032,1,t1
CT033,1,t1
CT034,0,t1
CT035,0,t1
CT038,1,t1
CT039,1,t1
CT040,0,t1
CT041,0,t1
CT044,0,t1
CT045,0,t1
CT046,0,t1
CT047,1,t1
CT048,0,t1
CT049,1,t1
CT050,0,t1
CT051,1,t1
CT053,1,t1
CT055,1,t1
CT058,0,t1
CT060,0,t1
CT061,1,t1
CT062,0,t1
CT065,0,t1
CT066,0,t1
NT001,0,t1
NT002,0,t1
NT005,0,t1
NT007,0,t1
NT008,0,t1
NT010,0,t1
NT015,1,t1
NT016,0,t1
NT017,0,t1
NT018,1,t1
NT019,0,t1
NT020,0,t1
NT022,0,t1
NT023,1,t1
NT024,1,t1
NT025,0,t1
NT027,0,t1
NT028,0,t1
NT030,0,t1
NT031,0,t1
NT032,1,t1
NT033,0,t1
NT034,0,t1
NT035,0,t1
NT036,1,t1
NT039,0,t1
NT040,1,t1
NT041,0,t1
NT042,0,t1
NT043,0,t1
NT044,0,t1
NT045,1,t1
NT046,0,t1
NT047,1,t1
NT048,0,t1
NT049,0,t1
NT051,0,t1
NT052,1,t1
NT053,1,t1
NT054,0,t1
NT055,1,t1
NT056,0,t1
NT057,1,t1
NT058,1,t1
NT060,1,t1
NT061,0,t1
NT063,1,t1
NT065,1,t1
NT067,0,t1
NT069,1,t1
NT070,0,t1
NT071,0,t1
NT072,0,t1
NT074,0,t1
NT075,0,t1
NT077,0,t1
NT080,0,t1
NT081,0,t1
NT082,0,t1
NT083,1,t1
NT084,0,t1
NT085,0,t1
NT087,0,t1
NT088,1,t1
NT089,0,t1
